NNxyz,NNxy,NNxz,NNyz,MultiNomial,TrueVals,testIndices
0,5,12,0,4,0,0
1,4,3,3,1,0,1
3,1,3,7,7,0,2
1,3,0,3,1,0,3
1,4,1,4,1,0,4
4,4,4,0,8,0,5
10,3,0,4,8,0,6
13,4,14,8,5,0,7
1,1,4,1,5,0,8
0,1,0,14,8,0,9
0,0,0,3,0,0,10
1,7,0,0,0,0,11
0,0,0,0,0,0,12
0,0,0,0,0,0,13
0,0,3,0,0,0,14
3,0,7,3,0,0,15
0,3,0,6,0,0,16
3,3,0,3,0,0,17
0,0,0,0,0,0,18
0,0,0,3,0,0,19
0,1,0,10,0,0,20
3,0,3,0,0,0,21
4,3,0,7,3,0,22
3,0,0,9,0,0,23
3,0,3,0,3,0,24
0,1,0,0,6,0,25
3,0,0,9,0,0,26
0,5,3,0,0,0,27
0,1,3,0,0,0,28
0,0,0,0,0,0,29
4,4,4,4,0,0,30
3,3,3,3,0,0,31
6,8,7,7,3,0,32
10,10,9,10,6,0,33
3,8,7,7,0,0,34
0,1,3,0,0,0,35
0,3,0,0,3,0,36
3,3,3,0,6,0,37
0,4,9,4,9,0,38
3,4,9,0,6,0,39
3,9,10,7,7,0,40
4,0,0,3,3,0,41
0,0,0,0,3,0,42
0,2,3,0,0,0,43
0,0,0,0,3,0,44
3,0,9,4,6,0,45
0,0,3,0,3,0,46
0,0,0,0,3,0,47
3,4,0,6,6,0,48
3,0,0,3,3,0,49
0,0,0,0,0,0,50
0,0,0,0,0,0,51
0,0,0,0,0,0,52
0,1,0,0,0,0,53
1,2,6,1,0,0,54
3,5,3,3,0,0,55
0,1,0,0,0,0,56
0,0,0,6,0,0,57
0,1,0,1,0,0,58
0,0,0,0,0,0,59
3,7,0,3,0,0,60
0,5,0,0,0,0,61
0,7,0,0,0,0,62
3,3,3,3,0,0,63
3,4,3,0,3,0,64
0,1,0,0,0,0,65
3,1,0,3,0,0,66
3,3,3,3,0,0,67
3,4,3,6,0,0,68
3,3,6,0,3,0,69
3,5,3,3,0,0,70
0,1,0,0,0,0,71
3,1,0,0,0,0,72
3,0,0,3,0,0,73
0,2,0,0,0,0,74
0,1,0,0,0,0,75
0,1,0,0,0,0,76
0,0,0,0,0,0,77
0,0,0,0,0,0,78
0,1,0,0,0,0,79
0,4,0,1,7,0,80
10,3,10,0,10,0,81
3,3,0,3,7,0,82
